Theme,Color,Displayname,Category,Property
Animals,0xff00ff00,General,/biology/animal,name
,,,,/biology/organism_classification/scientific_name
,,,,/biology/organism_classification/rank
,,,,/fictional_universe/character_species/characters_of_this_species
Entertainment,0xffff9900,Theater,/theater/play,characters
,,,,playwright
,,Opera,/opera/opera,name
,,,,composer
,,,,date_written
,,,,librettist
,,,,date_of_first_performance
,,Film,/film/film,directed_by
,,,,starring./film/performance/actor
,,,,genre
,,,,initial_release_date
,,,,subjects
,,,,story_by
,,,,music
,,,,written_by
,,Music Albums,/music/album,name
,,,,genre
,,,,artist
,,,,release_date
,,TV Programs,/tv/tv_program,genre
,,,,number_of_seasons
,,,,program_creator
,,,,number_of_episodes
,,,,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor
,,TV Characters,/tv/tv_character,name
,,,,/tv/tv_character/appeared_in_tv_program./tv/regular_tv_appearance/series
,,,,/fictional_universe/fictional_character/appears_in_these_fictional_universes
,,,,/fictional_universe/fictional_character/character_created_by
,,,,/fictional_universe/fictional_character/place_of_birth
,,,,/tv/tv_character/appeared_in_tv_program./tv/regular_tv_appearance/actor
,,,,/fictional_universe/fictional_character/organizations
,,,,/fictional_universe/fictional_character/places_lived
,,Computer Game Developers,/cvg/computer_game_engine_developer,/cvg/cvg_publisher/games_published
,,,,/organization/organization/founders
,,,,/organization/organization/date_founded
,,Game Characters,/cvg/game_character,name
,,,,games./cvg/game_performance/game
,,,,/fictional_universe/fictional_character/character_created_by
,,,,/fictional_universe/fictional_character/appears_in_these_fictional_universes
,,Videogames,/cvg/computer_videogame,publisher
,,,,cvg_genre
,,,,developer
,,,,release_date
,,Game Publishers,/games/game_publisher,/organization/organization/founders
,,,,/cvg/cvg_developer/game_versions_developed
,,Games,/games/game,name
,,,,publisher
,,,,genre
,,,,origin
,,,,designer
,,,,
Food and Drink,0xff4c8aef,Food,/food/food,name
,,Beverages,/food/beverage,name
,,,,
Geography,0xff3f8520,Continents,/location/continent,name
,,,,/location/location/area
,,Countries,/location/country,name
,,,,capital
,,,,official_language
,,,,form_of_government
,,,,/organization/organization_founder/organizations_founded
,,,,/location/location/area
,,US States,/location/us_state,name
,,,,/location/dated_location/date_founded
,,,,/location/administrative_division_capital_relationship/capital
,,,,/fictional_universe/fictional_setting/characters_that_have_lived_here
,,,,/fictional_universe/fictional_setting/fictional_characters_born_here
,,Cities,/location/citytown,name
,,,,/location/dated_location/date_founded
,,,,/fictional_universe/fictional_setting/characters_that_have_lived_here
,,,,/fictional_universe/fictional_setting/fictional_characters_born_here
,,Roads,/transportation/road,name
,,,,length
,,,,formed
,,,,major_cities
,,,,highway_system
,,Railways,/rail/rail_network,name
,,,,railways
,,Mountains,/geography/mountain,name
,,,,elevation
,,,,mountain_range
,,,,/location/location/containedby
,,,,date_of_first_ascent
,,Mountain Ranges,/geography/mountain_range,name
,,,,mountains
,,Waterfalls,/geography/waterfall,name
,,,,height
,,Rivers,/geography/river,name
,,,,length
,,,,/geography/river/mouth
,,,,
History and Politics,0xffb7b7b7,War,/military/war,name
,,,,/time/event/start_date
,,,,/time/event/end_date
,,,,/time/event/includes_event
,,,,/time/event/included_in_event
,,,,/military/military_conflict/commanders./military/military_command/military_commander
,,,,/military/military_conflict/locations
,,Politicians,/government/politician,name
,,,,government_positions_held./government/government_position_held/office_position_or_title
,,Political Parties,/government/political_party,name
,,,,country
,,,,/organization/organization/date_founded
,,US Presidents,/government/us_president,name
,,,,presidency_number
,,,,vice_president
,,,,/people/person/place_of_birth
,,,,/people/deceased_person/date_of_death
,,,,/people/person/date_of_birth
,,,,
Humanities,0xff954e04,Art,/visual_art/artwork,name
,,,,artist
,,,,art_subject
,,,,art_form
,,,,art_genre
,,,,media
,,,,/visual_art/artwork/date_completed
,,,,/visual_art/artwork/period_or_movement
,,,,/visual_art/artwork_location_relationship/location
,,Religion,/religion/religion,name
,,Beliefs,/religion/belief,name
,,Places of Worship,/religion/type_of_place_of_worship,name
,,Architecture,/architecture/structure,name
,,,,architect
,,,,/location/location/containedby
,,,,/organization/organization/founders
,,,,/visual_art/artwork_owner_relationship/artwork
,,,,
Literature,0xff00e6e6,Books,/book/book,name
,,,,characters
,,,,/book/written_work/author
,,Comics,/comic_books/comic_book_series,created_by
,,,,publisher
,,,,featured_characters
,,,,number_of_issues
,,,,
People,0xff0000ff,General,/people/person,name
,,,,place_of_birth
,,,,/people/deceased_person/date_of_death
,,Actors,/film/actor,name
,,,,/film/actor/film./film/performance/film
,,,,/people/person/nationality
,, ,,/people/person/place_of_birth
,,,,/people/marriage/spouse
,,,,/people/deceased_person/date_of_death
,,,,/people/person/date_of_birth
,,Directors,/film/director,name
,,,,film
,,,,/people/person/nationality
,,,,/people/person/place_of_birth
,,,,/people/marriage/spouse
,,,,/people/deceased_person/date_of_death
,,,,/people/person/date_of_birth
,,Artists,/music/artist,name
,,,,album
,,,,/people/person/nationality
,,,,/people/person/place_of_birth
,,,,/people/marriage/spouse
,,,,/film/music_contributor/film
,,,,/people/deceased_person/date_of_death
,,,,/people/person/date_of_birth
Science and Technology,0xffffff00,Constellations,/astronomy/constellation,name
,,,,/astronomy/constellation_bordering_relationship/constellations
,,Planets,/astronomy/planet,name
,,,,/base/schemastaging/celestial_object_extra/equatorial_circumference
,,,,/astronomy/orbital_relationship/orbital_order
,,,,/astronomy/orbital_relationship/mean_orbital_speed
,,,,/astronomy/orbital_relationship/orbital_period
,,Chemical Elements,/chemistry/chemical_element,name
,,,,symbol
,,,,atomic_number
,,,,/chemistry/chemical_element/periodic_table_block
,,,,/chemistry/chemical_element/discovery_date
,,Operating Systems,/computer/operating_system,developer
,,,,/computer/operating_system/release_date
,,Programming Languages,/computer/programming_language,language_designers
,,,,introduced
,,Rocks,/geology/rock_type,name
,,Physics,/physics/particle,name
,,,,family
,,Ships,/boats/ship_type,name
,,,,/law/invention/date_of_invention
,,Aircrafts,/aviation/aircraft,name
,,,,model
,,,,date_manufactured
,,,,first_flight
,,,,
Sports,0xffff0000,General,/sports/sport,name
,,,,leagues
,,,,teams
,,Teams,/sports/sports_team,founded
,,,,arena_stadium
,,,,team_mascot
,,,,championships
,,,,/organization/organization/founders
,,,,/sports/sports_league_participation/league
,,,,/base/schemastaging/context_name/nickname
,,,,/sports/professional_sports_team/owner_s
,,Athletes,/sports/pro_athlete,name
,,,,/people/person/nationality
,,,,/people/person/place_of_birth
,,,,/people/marriage/spouse
,,,,/sports/pro_sports_played/sport
,,,,/people/person/date_of_birth
,,,,/people/deceased_person/date_of_death
,,,,/film/actor/film./film/performance/film
