Property,Question,Type,Unit,Filter,Types,Units,Filter
/astronomy/constellation_bordering_relationship/constellations,Which constellation borders $X$?,0,0,0,0 = string,0 = none,0 = none
/astronomy/orbital_relationship/mean_orbital_speed,How fast does $X$ orbit the sun?,2,5,0,1 - date,1 = m,1 = city
/astronomy/orbital_relationship/orbital_order,Which position does $X$ orbit the sun?,2,0,0,2 - int,2 = km,2 = country
/astronomy/orbital_relationship/orbital_period,How many days does it take for $X$ to orbit the sun?,2,4,0,3 = float,3 = km^2,3 = continent
/base/schemastaging/celestial_object_extra/equatorial_circumference,What's the circumference of $X$?,2,2,0,,4 = days,4 = region
/base/schemastaging/context_name/nickname,What's one nickname of $X$?,0,0,0,,5 = km/s,
/biology/organism_classification/rank,What's the classification rank of $X$?,0,0,0,,,
/biology/organism_classification/scientific_name,What's the scientific name of $X$?,0,0,0,,,
/book/written_work/author,Who wrote $X$?,0,0,0,,,
/chemistry/chemical_element/discovery_date,When was $X$ discovered?,1,0,0,,,
/chemistry/chemical_element/periodic_table_block,What's the table block of $X$?,0,0,0,,,
/computer/operating_system/release_date,When was $X$ released?,1,0,0,,,
/cvg/cvg_developer/game_versions_developed,Which game did $X$ develop?,0,0,0,,,
/cvg/cvg_publisher/games_published,Which game did $X$ publish?,0,0,0,,,
/fictional_universe/character_species/characters_of_this_species,Which fictional character is a $X$?,0,0,0,,,
/fictional_universe/fictional_character/appears_in_these_fictional_universes,Which universe is $X$ a part of?,0,0,0,,,
/fictional_universe/fictional_character/character_created_by,Who created $X$?,0,0,0,,,
/fictional_universe/fictional_character/organizations,What organization is $X$ a part of?,0,0,0,,,
/fictional_universe/fictional_character/place_of_birth,Where was $X$ born?,0,0,0,,,
/fictional_universe/fictional_character/places_lived,Where does $X$ live?,0,0,0,,,
/fictional_universe/fictional_setting/characters_that_have_lived_here,Which fictional character lived in $X$?,0,0,0,,,
/fictional_universe/fictional_setting/fictional_characters_born_here,Which fictional character was born in $X$?,0,0,0,,,
/film/actor/film./film/performance/film,Which film did $X$ star in?,0,0,0,,,
/film/music_contributor/film,Which film did $X$ contribute music to?,0,0,0,,,
/geography/river/mouth,Where is the mouth of $X$ located?,0,0,0,,,
/law/invention/date_of_invention,When was $X$ created?,1,0,0,,,
/law/inventor/inventions,What did $X$ invent?,0,0,0,,,
/location/administrative_division_capital_relationship/capital,What's the captial of $X$?,0,0,0,,,
/location/dated_location/date_founded,When was $X$ founded?,1,0,0,,,
/location/location/area,How big is $X$?,2,3,0,,,
/location/location/containedby,Where is $X$ located?,0,0,2,,,
/military/military_conflict/commanders./military/military_command/military_commander,Who was a commander in $X$?,0,0,0,,,
/military/military_conflict/locations,Where was $X$ mainly fought?,0,0,0,,,
/organization/organization_founder/organizations_founded,Which organization did $X$ found?,0,0,0,,,
/organization/organization/date_founded,When was $X$ founded?,1,0,0,,,
/organization/organization/founders,Who was a founder of $X$?,0,0,0,,,
/people/deceased_person/date_of_death,When did $X$ die?,1,0,0,,,
/people/marriage/spouse,Who is/was $X$'s spouse?,0,0,0,,,
/people/person/date_of_birth,When was $X$ born?,1,0,0,,,
